user,pre_avg_nec_time,pre_norm_avg_nec_time,pre_std_nec_time,pre_norm_std_nec_time,pre_link_choice_clicked,pre_narrative_element_change,pre_link_choice_ratio
37f88bfa-b303-46ab-bfa8-608ae113ef35,59.388,0.749,12.813,0.394,6,6,1.0
4f0ff439-e4d7-45e7-8eab-d0dd1a28c0d8,59.194,0.748,13.343,0.39,13,6,2.167
69052509-6b10-47b0-be19-37d0585bf443,55.64,0.771,13.951,0.4,10,6,1.667
e2711aae-2e94-450c-89e1-eca5b90d700d,51.524,0.75,24.408,0.387,5,6,0.833
880031df-6c4b-4f51-a1c8-95e7a27e04ad,52.925,0.75,15.041,0.39,10,6,1.667
fb01a9d6-7911-44b5-98aa-0207e1215c53,58.359,0.796,37.711,0.561,7,6,1.167
47b86405-a6fb-431e-87dd-774a68ab2855,66.106,0.8,16.631,0.4,4,6,0.667
dc46e9a7-0339-44b8-a2ac-911283e2fb6d,55.524,0.759,13.633,0.399,20,6,3.333
06a60ddc-8f38-4e09-afae-c28fffb97de3,14.018,0.166,4.07,0.118,5,6,0.833
4e1479b1-b102-455c-921d-c8a917fedd12,56.284,0.784,12.502,0.396,6,6,1.0
e1784e46-a844-4bf6-ba78-47f74182d8e0,60.103,0.757,12.771,0.388,5,6,0.833
a8b63a79-7af5-4b19-a952-821d66fc54fe,42.602,0.63,10.434,0.378,5,6,0.833
d8367050-6c33-4baa-b9f7-981bcd1e731f,51.682,0.742,16.058,0.388,5,6,0.833
5f20a33b-7b0b-4b4f-928d-bb84b6f365d0,52.702,0.75,14.847,0.386,8,6,1.333
a9324fde-da85-4f54-b0ba-4e4d92617125,65.423,0.802,17.514,0.401,14,6,2.333
78043bce-dcff-4725-b72c-23b06a7092b2,54.097,0.755,14.337,0.396,9,6,1.5
e80725ee-a4cc-46e4-9b1b-d4ee40027267,46.109,0.618,17.118,0.375,6,6,1.0
63c55b72-5ce1-4d9c-b838-661fd15763b9,55.232,0.749,19.396,0.391,5,6,0.833
2af236a2-6985-44ff-bcbf-55ac72438397,61.348,0.768,16.973,0.391,37,6,6.167
232bdfcc-5234-41cb-9797-80acc9e611ff,56.236,0.772,13.723,0.403,17,6,2.833
619a1cc8-535f-4f65-b98f-790c1f33822b,61.443,0.767,16.826,0.389,7,6,1.167
f97e6778-9e9e-468a-949e-b41da40b514e,54.561,0.762,13.51,0.391,10,6,1.667
0ae10df0-e8a3-44eb-9075-5cc38e8a2283,54.652,0.762,14.257,0.397,10,6,1.667
b11d3083-7605-4b6b-9c72-47f044a725f3,57.706,0.805,11.601,0.403,4,6,0.667
2ad335f6-5f7c-4301-851c-0eb62c11f15d,52.44,0.748,15.557,0.39,8,6,1.333
afb2e1ef-a39a-4b3c-b22e-0cb7437d997d,41.013,0.438,17.866,0.345,3,6,0.5
7f5d7469-4c90-46fd-b14c-f51bc0b80027,60.026,0.765,18.526,0.39,6,6,1.0
11d58146-ab8b-441c-9301-47afc16efc9d,59.848,0.77,16.135,0.396,5,6,0.833
2e604eb2-5f24-460f-845d-4f5115ea9028,54.262,0.763,15.085,0.4,10,6,1.667
1d8cc357-16ac-4314-8243-b028039e0de1,55.876,0.775,15.269,0.408,6,6,1.0
7e1a0fed-178e-4449-a2ef-07d4f232a490,37.214,0.451,21.707,0.324,6,6,1.0
3243be42-50ab-4242-a420-8ba8a088d33f,56.153,0.758,12.005,0.39,5,6,0.833
79a7fac6-c7f8-4a78-9ea2-c1a728fc4284,52.739,0.742,15.144,0.39,47,6,7.833
23feb8ca-77f0-4056-b444-8e07868bf71b,52.153,0.676,19.671,0.43,18,6,3.0
5a9d4c69-4cba-4cf0-8cf2-00186818bdbd,54.265,0.76,14.626,0.397,7,6,1.167
9f100514-3f92-4a14-b26d-63e5a561bc86,55.552,0.805,19.756,0.429,7,6,1.167
f0b1eda1-cfc4-4aea-a511-8e87158ddc91,56.269,0.747,12.377,0.391,7,6,1.167
e1502721-9ffe-4393-b47b-fe05c5306cb7,62.846,0.81,9.279,0.405,22,6,3.667
e5430ef7-abdf-434d-a42e-feb86cd0c13e,56.513,0.745,12.229,0.39,5,6,0.833
890a5406-1e46-41e0-b808-2857d0fccb4b,62.928,0.783,16.75,0.397,9,6,1.5
4f3af0f0-2edd-4e49-a000-fa80dbca5e3d,58.603,0.762,11.801,0.395,6,6,1.0
fc649263-fd8c-4654-9384-39194241a9fc,55.938,0.76,13.634,0.399,20,6,3.333
c7139e2c-db8e-4ae0-b35a-98a3eb8d0c88,54.209,0.746,14.108,0.391,10,6,1.667
42389fb0-60f2-423b-8987-b4320dc03276,54.037,0.758,14.785,0.396,5,6,0.833
ea7cf7bd-9bba-4df2-a8d6-100b056968c7,50.541,0.709,15.782,0.371,15,6,2.5
a2f3e008-2b76-4e8b-bcea-c3b11e598a98,52.085,0.738,15.506,0.389,12,6,2.0
37e12d55-efc5-4a08-8347-9c071a3a5ad6,55.339,0.766,13.764,0.398,5,6,0.833
0ac0eedf-181f-465f-96ce-506e4c353422,52.978,0.751,15.108,0.392,7,6,1.167
5bc1aa86-1cc9-41b2-96ad-ab7b48bb0077,45.703,0.511,27.133,0.437,9,6,1.5
709c2ba7-af32-4602-9749-60025014ceb6,43.283,0.598,13.359,0.409,6,6,1.0
9e6ad898-8150-483e-ab0f-956c0f7f5431,53.274,0.74,14.384,0.389,25,6,4.167
2584b31b-04e7-43d0-94a7-6d8e0925c32e,53.437,0.748,14.464,0.391,5,6,0.833
8510d423-466e-4cfa-a640-310a8634e52f,61.998,0.42,58.094,0.345,22,6,3.667
68dea713-5d0a-413c-8453-afbff97f9417,61.603,0.851,14.018,0.435,7,6,1.167
1150cebe-b9f5-4c84-b557-3ce18d88486c,65.049,0.797,15.147,0.403,10,6,1.667
edf7a3b9-19d3-4a49-bfc5-2f7605cf91b9,50.04,0.622,24.227,0.394,15,6,2.5
2e81e587-0b0f-415a-91aa-99ff64f27105,54.259,0.752,14.344,0.395,6,6,1.0
bd7693b4-f8ac-4ae0-b1ee-66fa55ff09c5,53.671,0.747,14.465,0.392,6,6,1.0
02f9b1a6-806c-4d6e-ac9b-4ba015d23039,53.045,0.745,15.071,0.393,5,6,0.833
2bfaeea8-0f7d-45ab-a2ec-a84ba91a525a,67.105,0.802,15.831,0.401,12,6,2.0
cdd138b4-431f-4126-a586-7b732365ec92,52.669,0.748,15.204,0.389,5,6,0.833
a5430b0c-1698-4527-85f6-75ad6b1eff92,57.383,0.769,12.561,0.403,15,6,2.5
b9bc8866-35f9-428f-8b1b-bfcde904f89f,56.603,0.747,12.419,0.388,5,6,0.833
af0015e6-89e0-4d01-9317-49579abc42dc,59.777,0.78,12.063,0.406,10,6,1.667
3d6302d4-ca73-4353-ac69-5fdc0080d76d,54.939,0.801,14.608,0.401,12,6,2.0
9eb28242-578c-4bab-a4c1-e2892dc73279,58.12,0.774,12.805,0.402,6,6,1.0
58c5a9a5-c68a-4eba-afe1-1c28ce443b2b,64.188,0.777,14.687,0.395,4,6,0.667
710d05ba-92eb-4b5e-9644-aeb3532ee165,54.609,0.753,14.26,0.396,7,6,1.167
1b705d58-801f-4bc0-b1f9-4a104c13b860,40.046,0.532,11.129,0.294,5,6,0.833
b6e5ef89-2b3e-4bba-bb8e-77b168edc080,62.426,0.779,16.619,0.397,5,6,0.833
64799d81-18c3-401c-90ec-fcc29da6952f,60.57,0.802,9.244,0.401,5,6,0.833
e98e2508-6631-47ea-9689-90364e360ddd,51.331,0.74,16.465,0.389,7,6,1.167
56a1fed6-4693-4fd0-b8f2-30857e406bb3,55.911,0.742,12.835,0.389,5,6,0.833
7de1cc4f-c3cf-46e1-b85a-7d70fce27dfb,53.226,0.744,15.074,0.391,5,6,0.833
14345c85-85f9-4b8b-9fbb-94eaf1e85f9b,50.111,0.765,20.942,0.405,13,6,2.167
f59e952d-8b55-4abe-8cfe-201b696ab542,23.361,0.279,20.018,0.374,6,6,1.0
36f85367-5e55-475d-bf44-7567ce6a2e34,55.146,0.791,15.2,0.403,10,6,1.667
